Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",185.113808,-63.200000,0.000000,top
"C2","22u","C_0805_2012Metric",190.263808,-67.650000,90.000000,top
"C3","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.263808,-48.200000,0.000000,top
"C4","100n","C_0402_1005Metric",168.263808,-50.000000,0.000000,top
"C5","100n","C_0402_1005Metric",176.763808,-53.480000,-90.000000,top
"C6","100n","C_0402_1005Metric",173.343808,-62.400000,180.000000,top
"C7","100n","C_0402_1005Metric",164.663808,-53.320000,-90.000000,top
"C8","10n","C_0402_1005Metric",164.663808,-57.000000,90.000000,top
"C9","1u","C_0402_1005Metric",162.563808,-58.200000,180.000000,top
"C10","1u","C_0402_1005Metric",162.563808,-59.400000,180.000000,top
"C11","100n","C_0402_1005Metric",157.663808,-53.480000,-90.000000,top
"C12","8p","C_0402_1005Metric",162.763808,-53.770000,90.000000,top
"C13","8p","C_0402_1005Metric",162.963808,-56.320000,-90.000000,top
"D1","RED","LED_0603_1608Metric",192.263808,-67.800000,-90.000000,top
"FB1","120R","L_0201_0603Metric",164.563808,-59.400000,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",163.463808,-71.000000,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",188.263808,-54.600000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",175.463808,-47.940000,180.000000,top
"J4","Conn_01x04_Male ","PinHeader_1x04_P2.54mm_Vertical",179.263808,-66.600000,180.000000,top
"J5","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",171.663808,-42.600000,-90.000000,top
"R1","1k5","R_0402_1005Metric",192.173808,-65.000000,180.000000,top
"R2","10k ","R_0402_1005Metric",163.263808,-48.800000,180.000000,top
"R3","1k5","R_0402_1005Metric",176.463808,-64.910000,90.000000,top
"R4","1k5","R_0402_1005Metric",176.663808,-61.510000,-90.000000,top
"R5","1k5","R_0402_1005Metric",182.063808,-54.090000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",158.796308,-39.842500,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",185.463808,-68.800000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",170.763808,-56.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",160.263808,-55.000000,-90.000000,top
