Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22u,C45783
"C10, C9",0402,2,1u,C52923
"C11, C4, C5, C6, C7",0402,5,100n,C2981728
"C12, C13",0402,2,8p,C342939
C3,0603,1,10u,C19702
C8,0402,1,10n,C15195
D1,0603,1,RED,C2286
FB1,0805,1,120R,C160964
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
"J1, J3, J5",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Male,C2691448
J2,MICRO-USB-SMD_5P-P0.65-H-F_U254-051T-4BH81-S2S,1,U254-051T-4BH81-S2S,C381144
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male ,C2691448
"R1, R3, R4, R5",0402,4,1k5,C319978
R2,0402,1,10k ,C269701
SW1,SW_SPDT_PCM12,1,SW_SPDT,C5149818
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C129740
