Designator,Mid X,Mid Y,Rotation,Layer
C1,185.113808,-63.2,0.0,top
C10,162.563808,-59.4,180.0,top
C11,157.663808,-53.48,270.0,top
C12,162.763808,-53.77,90.0,top
C13,162.963808,-56.32,270.0,top
C2,190.263808,-67.65,90.0,top
C3,166.263808,-48.2,0.0,top
C4,168.263808,-50.0,0.0,top
C5,176.6,-53.48,270.0,top
C6,173.343808,-62.4,180.0,top
C7,164.663808,-53.32,270.0,top
C8,164.663808,-57.0,90.0,top
C9,162.563808,-58.2,180.0,top
D1,192.263808,-67.8,270.0,top
FB1,164.6,-59.7375,270.0,top
J1,163.4,-68.8,180.0,top
J2,187.9,-54.7,90.0,top
J3,175.463808,-44.14,180.0,top
J4,179.263808,-62.8,180.0,top
J5,167.863808,-42.6,270.0,top
R1,192.173808,-65.0,180.0,top
R2,163.3,-48.5,180.0,top
R3,176.463808,-64.91,90.0,top
R4,176.663808,-61.51,270.0,top
R5,182.063808,-54.09,270.0,top
SW1,158.796308,-39.8425,270.0,top
U1,185.463808,-68.8,90.0,top
U2,170.763808,-56.0,270.0,top
Y1,160.263808,-55.0,270.0,top
